"EMPNO","ENAME","JOB","MGR","HIREDATE","SAL","COMM","DEPTNO"
7839,"KING","PRESIDENT",,81/11/17,5000,,10
7698,"BLAKE","MANAGER",7839,81/05/01,2850,,30
7782,"CLARK","MANAGER",7839,81/05/09,2450,,10
7566,"JONES","MANAGER",7839,81/04/01,2975,,20
7654,"MARTIN","SALESMAN",7698,81/09/10,1250,1400,30
7499,"ALLEN","SALESMAN",7698,81/02/11,1600,300,30
7844,"TURNER","SALESMAN",7698,81/08/21,1500,0,30
7900,"JAMES","CLERK",7698,81/12/11,950,,30
7521,"WARD","SALESMAN",7698,81/02/23,1250,500,30
7902,"FORD","ANALYST",7566,81/12/11,3000,,20
7369,"SMITH","CLERK",7902,80/12/09,800,,20
7788,"SCOTT","ANALYST",7566,82/12/22,3000,,20
7876,"ADAMS","CLERK",7788,83/01/15,1100,,20
7934,"MILLER","CLERK",7782,82/01/11,1300,,10
